Kode Importir;Nama Importir;Alamat
AT-10435;Alyssa Tate;Los Angeles
AT-10735;Annie Thurman;Stockton
AW-10840;Anthony Witt;Farmington
AW-10930;Arthur Wiediger;Helena
AY-10555;Andy Yotov;Los Angeles
AZ-10750;Annie Zypern;Los Angeles
BB-10990;Barry Blumstein;Los Angeles
BB-11545;Brenda Bowman;Oakland
BC-11125;Becky Castell;El Cajon
BD-11320;Bill Donatelli;San Francisco
BD-11500;Bradley Drucker;San Francisco
BD-11560;Brendan Dodson;Fresno
BD-11605;Brian Dahlen;San Francisco
BD-11620;Brian DeCherney;San Francisco
BD-11725;Bruce Degenhardt;San Francisco
BD-11770;Bryan Davis;Edmonds
BE-11335;Bill Eplett;San Francisco
BE-11410;Bobby Elias;Concord
BF-11005;Barry Franz;Aurora
BF-11020;Barry Französisch;Seattle
BF-11170;Ben Ferrer;Los Angeles
BF-11215;Benjamin Farhat;Albuquerque
BF-11275;Beth Fritzler;Tucson
BG-11695;Brooke Gillingham;Louisville
BG-11740;Bruce Geld;San Diego
BH-11710;Brosina Hoffman;Los Angeles
BK-11260;Berenike Kampe;San Bernardino
BM-11140;Becky Martin;Des Moines
BM-11575;Brendan Murry;Montebello
BM-11650;Brian Moss;San Diego
BM-11785;Bryan Mills;Salem
BN-11470;Brad Norvell;Brentwood
BN-11515;Bradley Nguyen;Seattle
BO-11350;Bill Overfelt;Los Angeles
BP-11050;Barry Pond;Los Angeles
BP-11095;Bart Pistole;Los Angeles
BP-11155;Becky Pak;Los Angeles
BP-11185;Ben Peterman;Arvada
BP-11230;Benjamin Patterson;Los Angeles
BP-11290;Beth Paige;Los Angeles
BS-11365;Bill Shonely;Seattle
BS-11380;Bill Stewart;San Francisco
BS-11590;Brendan Sweed;Gilbert
BS-11665;Brian Stugart;San Diego
BS-11755;Bruce Stewart;Denver
BS-11800;Bryan Spruell;San Diego
BT-11305;Beth Thompson;San Gabriel
BT-11395;Bill Tyler;Los Angeles
BT-11440;Bobby Trafton;Littleton
BT-11530;Bradley Talbott;San Diego
BT-11680;Brian Thompson;San Francisco
BV-11245;Benjamin Venier;Seattle
BW-11110;Bart Watters;San Diego
BW-11200;Ben Wallace;San Francisco
CA-11965;Carol Adams;Los Angeles
CA-12055;Cathy Armstrong;Los Angeles
CA-12265;Christina Anderson;San Francisco
CA-12310;Christine Abelman;Anaheim
CA-12775;Cynthia Arntzen;Mesa
CB-12025;Cassandra Brandow;Los Angeles
CB-12415;Christy Brittain;Los Angeles
CB-12535;Claudia Bergmann;Camarillo
CC-12100;Chad Cunningham;Los Angeles
CC-12145;Charles Crestani;San Diego
CC-12220;Chris Cortes;Los Angeles
CC-12370;Christopher Conant;Los Angeles
CC-12430;Chuck Clark;Redmond
CC-12475;Cindy Chapman;San Francisco
CC-12550;Clay Cheatham;San Francisco
CC-12610;Corey Catlett;Denver
CC-12670;Craig Carreira;Seattle
CD-11920;Carlos Daly;Lake Elsinore
CD-11980;Carol Darley;Medford
CD-12280;Christina DeMoss;Seattle
CD-12790;Cynthia Delaney;San Diego
CG-12040;Catherine Glotzbach;Los Angeles
CJ-12010;Caroline Jumper;San Francisco
CK-12205;Chloris Kastensmidt;Hillsboro
CK-12325;Christine Kargatis;Orem
CK-12595;Clytie Kelty;San Diego
CK-12760;Cyma Kinney;San Francisco
CL-11890;Carl Ludwig;San Francisco
CL-12565;Clay Ludtke;Seattle
CL-12700;Craig Leslie;Colorado Springs
CM-11815;Candace McMahon;Seattle
CM-11935;Carlos Meador;Tucson
CM-12115;Chad McGuire;San Francisco
CM-12160;Charles McCrossin;San Francisco
CM-12190;Charlotte Melton;San Diego
CM-12235;Chris McAfee;Phoenix
CM-12385;Christopher Martine;San Francisco
CM-12445;Chuck Magee;San Francisco
CM-12655;Corinna Mitchell;Los Angeles
CM-12715;Craig Molinari;Seattle
CP-12085;Cathy Prescott;Covington
CP-12340;Christine Phan;Los Angeles
CR-12580;Clay Rozendal;Bellevue
CS-11845;Cari Sayre;Seattle
CS-11950;Carlos Soltero;Seattle
CS-12130;Chad Sievert;Los Angeles
CS-12175;Charles Sheldon;San Francisco
CS-12250;Chris Selesnick;San Diego
CS-12355;Christine Sundaresa;Long Beach
CS-12400;Christopher Schild;Seattle
CS-12505;Cindy Stewart;Pomona
CT-11995;Carol Triggs;Tucson
CV-12295;Christina VanderZan;Fresno
CV-12805;Cynthia Voltz;San Francisco
CW-11905;Carl Weiss;Bozeman
CY-12745;Craig Yedwab;Gilbert
Co-12640;Corey-Lock;Seattle
DB-12910;Daniel Byrd;Lake Forest
DB-12970;Darren Budd;Los Angeles
DB-13060;Dave Brooks;Seattle
DB-13120;David Bremer;San Francisco
DB-13210;Dean Braden;San Francisco
DB-13270;Deborah Brumfield;San Diego
DB-13360;Dennis Bolton;Salt Lake City
DB-13615;Doug Bickford;Seattle
DB-13660;Duane Benoit;Los Angeles
DC-13285;Debra Catini;San Francisco
DD-13570;Dorothy Dickinson;Los Angeles
DE-13255;Deanra Eno;Los Angeles
DF-13135;David Flashing;Vallejo
DG-13300;Deirdre Greer;Denver
DH-13075;Dave Hallsten;Los Angeles
DH-13675;Duane Huffman;San Francisco
DJ-13420;Denny Joy;San Francisco
DJ-13510;Don Jones;San Diego
DJ-13630;Doug Jacobs;Portland
DK-12835;Damala Kotsonis;San Francisco
DK-12895;Dana Kaydos;Seattle
DK-12985;Darren Koutras;Springfield
DK-13090;Dave Kipp;Seattle
DK-13225;Dean Katz;Huntington Beach
DK-13375;Dennis Kane;San Diego
DL-12865;Dan Lawera;Long Beach
DL-12925;Daniel Lacy;Oceanside
DL-13315;Delfina Latchford;Rancho Cucamonga
DL-13330;Denise Leinenbach;Las Cruces
DL-13495;Dionis Lloyd;San Francisco
DM-12955;Dario Medina;Mesa
DM-13015;Darrin Martin;Encinitas
DM-13345;Denise Monton;San Francisco
DN-13690;Duane Noonan;San Francisco
DO-13435;Denny Ordway;Seattle
DO-13645;Doug O'Connell;Salt Lake City
DP-13000;Darren Powers;Los Angeles
DP-13105;Dave Poirier;Salinas
DP-13390;Dennis Pardue;Los Angeles
DR-12880;Dan Reichenbach;Gresham
DR-12940;Daniel Raglin;Albuquerque
DS-13030;Darrin Sayre;San Francisco
DS-13180;David Smith;San Francisco
DV-13045;Darrin Van Huff;Los Angeles
DV-13465;Dianna Vittorini;Los Angeles
DW-13195;David Wiener;Springfield
DW-13480;Dianna Wilson;Oakland
DW-13540;Don Weiss;Seattle
DW-13585;Dorothy Wardle;Edmonds
Dl-13600;Dorris liebe;Seattle
Dp-13240;Dean percer;Murray
EA-14035;Erin Ashbrook;Pasadena
EB-13705;Ed Braxton;San Francisco
EB-13750;Edward Becker;Seattle
EB-13840;Ellis Ballard;Seattle
EB-13870;Emily Burns;Redding
EB-13930;Eric Barreto;San Francisco
EB-13975;Erica Bern;Los Angeles
EB-14110;Eugene Barchas;Los Angeles
EB-14170;Evan Bailliet;Seattle
EC-14050;Erin Creighton;San Francisco
ED-13885;Emily Ducich;San Diego
EH-13765;Edward Hooks;Lodi
EH-13945;Eric Hoffmann;Tempe
EH-13990;Erica Hackney;Bellevue
EH-14005;Erica Hernandez;San Francisco
EH-14125;Eugene Hildebrand;Lakewood
EJ-13720;Ed Jacobs;San Diego
EJ-14155;Eva Jacobs;San Diego
EK-13795;Eileen Kiefer;San Francisco
EM-13810;Eleni McCrary;Los Angeles
EM-13825;Elizabeth Moffitt;Moreno Valley
EM-13960;Eric Murdock;Portland
EM-14095;Eudokia Martin;Phoenix
EM-14140;Eugene Moren;Great Falls
EP-13915;Emily Phan;Tempe
ER-13855;Elpida Rittenbach;Colorado Springs
ES-14020;Erica Smith;San Francisco
ES-14080;Erin Smith;Tempe
FA-14230;Frank Atkinson;Long Beach
FC-14245;Frank Carlisle;Sacramento
FC-14335;Fred Chung;Albuquerque
FG-14260;Frank Gastineau;Seattle
FH-14275;Frank Hawley;Los Angeles
FH-14350;Fred Harton;Seattle
FH-14365;Fred Hopkins;Seattle
FM-14215;Filia McAdams;Los Angeles
FM-14290;Frank Merwin;Los Angeles
FM-14380;Fred McMath;Aurora
FO-14305;Frank Olsen;Sacramento
FP-14320;Frank Preis;Los Angeles
FW-14395;Fred Wasserman;Los Angeles
GA-14515;George Ashbrook;San Francisco
GA-14725;Guy Armstrong;San Francisco
GB-14530;George Bell;Aurora
GD-14590;Giulietta Dortch;Bellingham
GG-14650;Greg Guthrie;Los Angeles
GH-14410;Gary Hansen;Los Angeles
GH-14425;Gary Hwang;Seattle
GK-14620;Grace Kelly;Salem
GM-14440;Gary McGarr;San Diego
GM-14500;Gene McClure;Fresno
GM-14680;Greg Matthias;San Jose
GM-14695;Greg Maxwell;San Francisco
GR-14560;Georgia Rosenberg;San Francisco
GT-14710;Greg Tran;San Francisco
GT-14755;Guy Thornton;Long Beach
GW-14605;Giulietta Weimer;San Francisco
GZ-14470;Gary Zandusky;San Francisco
GZ-14545;George Zrebassa;Los Angeles
HA-14905;Helen Abelman;San Jose
HA-14920;Helen Andreada;Pasadena
HF-14995;Herbert Flentye;Los Angeles
HG-14965;Henry Goldwyn;San Diego
HG-15025;Hunter Glantz;Los Angeles
HH-15010;Hilary Holden;San Francisco
HJ-14875;Heather Jas;Mesa
HK-14890;Heather Kirkland;Boise
HM-14860;Harry Marie;Los Angeles
HM-14980;Henry MacAllister;Los Angeles
HP-14815;Harold Pawlan;Los Angeles
HR-14770;Hallie Redmond;Los Angeles
HR-14830;Harold Ryan;Seattle
HW-14935;Helen Wasserman;San Diego
IG-15085;Ivan Gibson;Seattle
IL-15100;Ivan Liston;San Francisco
IM-15055;Ionia McGrath;Las Vegas
IM-15070;Irene Maddox;Colorado Springs
JA-15970;Joseph Airdo;Springfield
JB-15400;Jennifer Braxton;Los Angeles
JB-15925;Joni Blumstein;Los Angeles
JB-16000;Joy Bell-;Longview
JB-16045;Julia Barnett;Chula Vista
JC-15340;Jasper Cacioppo;Riverside
JC-15385;Jenna Caffey;Kent
JC-15775;John Castell;Seattle
JC-16105;Julie Creighton;Los Angeles
JD-15790;John Dryer;Los Angeles
JD-15895;Jonathan Doherty;Los Angeles
JD-16015;Joy Daniels;Seattle
JD-16060;Julia Dunbar;San Francisco
JD-16150;Justin Deggeller;Los Angeles
JE-15475;Jeremy Ellison;Seattle
JE-15610;Jim Epp;Los Angeles
JE-15715;Joe Elijah;Las Cruces
JE-15745;Joel Eaton;Louisville
JE-16165;Justin Ellison;Woodland
JF-15190;Jamie Frazer;Long Beach
JF-15295;Jason Fortune-;Logan
JF-15355;Jay Fein;San Diego
JF-15415;Jennifer Ferguson;Spokane
JF-15490;Jeremy Farry;Los Angeles
JF-15565;Jill Fjeld;San Francisco
JG-15115;Jack Garza;Des Moines
JG-15160;James Galang;Los Angeles
JG-15310;Jason Gross;Los Angeles
JG-15805;John Grady;Provo
JH-15430;Jennifer Halladay;Medford
JH-15910;Jonathan Howell;Los Angeles
JH-15985;Joseph Holt;Seattle
JH-16180;Justin Hirsh;Pueblo
JJ-15445;Jennifer Jackson;Los Angeles
JK-15205;Jamie Kunitz;San Francisco
JK-15325;Jason Klamczynski;Los Angeles
JK-15370;Jay Kimmel;Long Beach
JK-15625;Jim Karlsson;Olympia
JK-15640;Jim Kriz;San Francisco
JK-15730;Joe Kamberova;Concord
JK-16090;Juliana Krohn;Springfield
JK-16120;Julie Kriz;San Diego
JL-15130;Jack Lebron;Riverside
JL-15175;James Lanier;Reno
JL-15235;Janet Lee;Los Angeles
JL-15505;Jeremy Lonsdale;Westminster
JL-15835;John Lee;Los Angeles
JL-15850;John Lucas;San Francisco
JM-15250;Janet Martin;Los Angeles
JM-15265;Janet Molinari;Los Angeles
JM-15535;Jessica Myrick;Bakersfield
JM-15580;Jill Matthias;Seattle
JM-15655;Jim Mitchum;Glendale
JM-15865;John Murray;Phoenix
JM-16195;Justin MacKendrick;Los Angeles
JO-15145;Jack O'Briant;Draper
JO-15280;Jas O'Carroll;San Diego
JO-15550;Jesus Ocampo;Seattle
JP-15460;Jennifer Patt;Glendale
JP-15520;Jeremy Pistek;San Francisco
JP-16135;Julie Prescott;San Diego
JR-15670;Jim Radford;Colorado Springs
JR-16210;Justin Ritter;San Francisco
JS-15595;Jill Stevenson;Los Angeles
JS-15685;Jim Sink;Los Angeles
JS-15880;John Stevenson;Seattle
JS-16030;Joy Smith;San Francisco
JW-15220;Jane Waco;San Diego
JW-15955;Joni Wasserman;Seattle
JW-16075;Julia West;San Francisco
KA-16525;Kelly Andreada;Seattle
KB-16240;Karen Bern;Los Angeles
KB-16315;Karl Braun;Los Angeles
KB-16405;Katrina Bavinger;Seattle
KB-16585;Ken Black;San Francisco
KB-16600;Ken Brennan;Seattle
KC-16255;Karen Carlisle;San Francisco
KC-16540;Kelly Collister;Seattle
KC-16675;Kimberly Carter;Seattle
KD-16270;Karen Daniels;Los Angeles
KD-16345;Katherine Ducich;Los Angeles
KD-16495;Keith Dawkins;San Jose
KD-16615;Ken Dana;Anaheim
KE-16420;Katrina Edelman;Los Angeles
KF-16285;Karen Ferguson;San Diego
KH-16330;Katharine Harms;Hillsboro
KH-16510;Keith Herrera;Pomona
KH-16630;Ken Heidel;Pleasant Grove
KH-16690;Kristen Hastings;Springfield
KL-16555;Kelly Lampkin;Colorado Springs
KL-16645;Ken Lonsdale;San Francisco
KM-16225;Kalyca Meade;Sunnyvale
KM-16375;Katherine Murray;Thousand Oaks
KM-16660;Khloe Miller;San Jose
KM-16720;Kunst Miller;Vallejo
KN-16390;Katherine Nockton;Santa Barbara
KN-16450;Kean Nguyen;Redondo Beach
KN-16705;Kristina Nunn;Sparks
KS-16300;Karen Seio;Lehi
KT-16465;Kean Takahito;Los Angeles
KT-16480;Kean Thornton;Denver
KW-16570;Kelly Williams;San Francisco
LA-16780;Laura Armstrong;Fresno
LB-16735;Larry Blacks;Los Angeles
LB-16795;Laurel Beltran;Huntington Beach
LC-16870;Lena Cacioppo;San Francisco
LC-16885;Lena Creighton;San Francisco
LC-16930;Linda Cazamias;Sparks
LC-16960;Lindsay Castell;San Diego
LC-17050;Liz Carlisle;Mission Viejo
LC-17140;Logan Currie;Seattle
LD-17005;Lisa DeCherney;San Francisco
LE-16810;Laurel Elliston;Whittier
LF-17185;Luke Foster;Inglewood
LH-16750;Larry Hughes;Chandler
LH-16900;Lena Hernandez;San Francisco
LH-17020;Lisa Hazard;San Francisco
LH-17155;Logan Haushalter;Oakland
LL-16840;Lauren Leatherbury;Seattle
LO-17170;Lori Olson;La Quinta
LP-17080;Liz Pelletier;Tucson
LP-17095;Liz Preis;Visalia
LR-16915;Lena Radford;San Diego
LR-17035;Lisa Ryan;Santa Clara
LS-16945;Linda Southworth;Los Angeles
LS-16975;Lindsay Shagiari;San Francisco
LS-17200;Luke Schmidt;Fresno
LS-17230;Lycoris Saunders;Los Angeles
LS-17245;Lynn Smith;San Francisco
LT-16765;Larry Tron;Escondido
LT-17110;Liz Thompson;San Diego
LW-16825;Laurel Workman;Brentwood
LW-16990;Lindsay Williams;Henderson
LW-17125;Liz Willingham;Oxnard
LW-17215;Luke Weiss;Pasadena
MA-17560;Matt Abelman;Los Angeles
MA-17995;Michelle Arnett;Los Angeles
MB-17305;Maria Bertelson;Glendale
MB-18085;Mick Brown;Los Angeles
MC-17275;Marc Crier;Pasco
MC-17425;Mark Cousins;Portland
MC-17575;Matt Collins;Seattle
MC-17590;Matt Collister;Coachella
MC-17605;Matt Connell;Los Angeles
MC-17635;Matthew Clasen;Los Angeles
MC-17845;Michael Chen;Los Angeles
MC-18100;Mick Crebagga;Los Angeles
MC-18130;Mike Caudle;Seattle
MD-17350;Maribeth Dona;Anaheim
ME-17320;Maria Etezadi;Santa Barbara
ME-17725;Max Engle;Seattle
ME-18010;Michelle Ellison;San Francisco
MF-17665;Maureen Fritzler;Phoenix
MF-18250;Monica Federle;Los Angeles
MG-17650;Matthew Grinstein;Seattle
MG-17680;Maureen Gastineau;Los Angeles
MG-17890;Michael Granlund;San Diego
MG-18145;Mike Gockenbach;Los Angeles
MH-17290;Marc Harrigan;Los Angeles
MH-17440;Mark Haberlin;Escondido
MH-17455;Mark Hamilton;Los Angeles
MH-17620;Matt Hagelstein;San Diego
MH-17785;Maya Herman;San Diego
MH-18025;Michelle Huthwaite;Seattle
MJ-17740;Max Jones;San Diego
MK-17905;Michael Kennedy;Louisville
MK-18160;Mike Kennedy;San Francisco
ML-17395;Marina Lichtenstein;Seattle
ML-17410;Maris LaWare;Los Angeles
ML-17755;Max Ludwig;Springfield
ML-18040;Michelle Lonsdale;Albuquerque
ML-18265;Muhammed Lee;Seattle
MM-17260;Magdelene Morse;Seattle
MM-17920;Michael Moore;San Francisco
MM-18055;Michelle Moray;Great Falls
MM-18280;Muhammed MacIntyre;Los Angeles
MO-17800;Meg O'Connel;Los Angeles
MP-18175;Mike Pelletier;Springfield
MR-17545;Mathew Reese;Seattle
MS-17365;Maribeth Schnelling;Phoenix
MS-17530;MaryBeth Skach;San Diego
MS-17710;Maurice Satty;Fresno
MS-17770;Maxwell Schwartz;Seattle
MS-17830;Melanie Seite;Los Angeles
MT-17815;Meg Tillman;Scottsdale
MT-18070;Michelle Tran;Los Angeles
MV-17485;Mark Van Huff;Los Angeles
MV-18190;Mike Vittorini;San Bernardino
MW-18220;Mitch Webber;Seattle
MW-18235;Mitch Willingham;San Francisco
MY-17380;Maribeth Yedwab;Rancho Cucamonga
MY-18295;Muhammed Yedwab;El Cajon
MZ-17335;Maria Zettner;San Diego
MZ-17515;Mary Zewe;Los Angeles
NB-18655;Nona Balk;San Francisco
NC-18415;Nathan Cano;Santa Maria
NC-18535;Nick Crebassa;San Francisco
NC-18625;Noah Childs;Aurora
ND-18370;Natalie DeCherney;Portland
ND-18460;Neil Ducich;Chandler
NF-18475;Neil Französisch;Reno
NF-18595;Nicole Fjeld;San Jose
NG-18430;Nathan Gelder;Los Angeles
NH-18610;Nicole Hansen;Pomona
NK-18490;Neil Knudson;Seattle
NL-18310;Nancy Lomonaco;San Francisco
NM-18445;Nathan Mautz;North Las Vegas
NM-18520;Neoma Murray;Moreno Valley
NP-18325;Naresj Patel;Oakland
NP-18670;Nora Paige;Seattle
NP-18685;Nora Pelletier;Des Moines
NP-18700;Nora Preis;Fresno
NR-18550;Nick Radford;Chula Vista
NS-18505;Neola Schneider;San Jose
NS-18640;Noel Staavos;Los Angeles
NW-18400;Natalie Webber;Tigard
NZ-18565;Nick Zandusky;San Francisco
ON-18715;Odella Nelson;Tempe
OT-18730;Olvera Toch;Los Angeles
PA-19060;Pete Armstrong;San Francisco
PB-18805;Patrick Bzostek;San Francisco
PB-19150;Philip Brown;Phoenix
PC-18745;Pamela Coakley;San Francisco
PC-19000;Pauline Chand;Chandler
PF-19120;Peter Fuller;Gilbert
PF-19165;Philip Fox;San Diego
PF-19225;Phillip Flathmann;Los Angeles
PG-18820;Patrick Gardner;San Francisco
PG-18895;Paul Gonzalez;Los Angeles
PJ-18835;Patrick Jones;Seattle
PJ-19015;Pauline Johnson;Santa Ana
PK-18910;Paul Knutson;San Francisco
PK-19075;Pete Kriz;San Francisco
PL-18925;Paul Lucas;Los Angeles
PN-18775;Parhena Norris;Bakersfield
PO-18850;Patrick O'Brill;San Francisco
PO-18865;Patrick O'Donnell;Los Angeles
PO-19180;Philisse Overcash;Louisville
PO-19195;Phillina Ober;San Francisco
PP-18955;Paul Prost;Seattle
PR-18880;Patrick Ryan;Oakland
PS-18760;Pamela Stobb;Los Angeles
PS-18970;Paul Stevenson;Los Angeles
PS-19045;Penelope Sewall;Oceanside
PV-18985;Paul Van Hugh;San Francisco
PW-19030;Pauline Webber;Los Angeles
PW-19240;Pierre Wener;Louisville
RA-19285;Ralph Arnett;San Diego
RA-19885;Ruben Ausman;Los Angeles
RA-19915;Russell Applegate;Denver
RA-19945;Ryan Akin;Murrieta
RB-19360;Raymond Buch;San Francisco
RB-19435;Richard Bierner;Roseville
RB-19465;Rick Bensley;Vallejo
RB-19570;Rob Beeghly;Seattle
RB-19645;Robert Barroso;Los Angeles
RB-19705;Roger Barcio;Portland
RB-19795;Ross Baird;Los Angeles
RC-19825;Roy Collins;Pasadena
RC-19960;Ryan Crowe;Springfield
RD-19480;Rick Duston;Olympia
RD-19585;Rob Dowd;Los Angeles
RD-19660;Robert Dilbeck;Seattle
RD-19720;Roger Demir;San Francisco
RD-19810;Ross DeVincentis;Los Angeles
RD-19900;Ruben Dartt;San Diego
RD-19930;Russell D'Ascenzo;Los Angeles
RE-19450;Richard Eichhorn;Oakland
RF-19345;Randy Ferguson;Phoenix
RF-19735;Roland Fjeld;San Diego
RF-19840;Roy Französisch;Pasadena
RH-19495;Rick Hansen;Denver
RH-19510;Rick Huthwaite;San Diego
RL-19615;Rob Lucas;Los Angeles
RM-19375;Raymond Messe;San Jose
RM-19675;Robert Marley;Los Angeles
RO-19780;Rose O'Brian;Seattle
RP-19270;Rachel Payne;San Francisco
RP-19390;Resi Pölking;Seattle
RP-19855;Roy Phan;Los Angeles
RR-19315;Ralph Ritter;San Francisco
RS-19420;Ricardo Sperren;Los Angeles
RS-19765;Roland Schwarz;Los Angeles
RW-19540;Rick Wilson;Los Angeles
RW-19630;Rob Williams;San Francisco
RW-19690;Robert Waldorf;Los Angeles
SA-20830;Sue Ann Reed;Moreno Valley
SB-20170;Sarah Bern;Los Angeles
SB-20185;Sarah Brown;Los Angeles
SB-20290;Sean Braxton;San Diego
SC-20050;Stan Collymore;Burbank
SC-20095;Sanjit Chand;Concord
SC-20230;Scot Coram;Los Angeles
SC-20260;Scott Cohen;Seattle
SC-20305;Sean Christensen;Los Angeles
SC-20380;Shahid Collister;Seattle
SC-20440;Shaun Chance;Los Angeles
SC-20575;Sonia Cooley;Los Angeles
SC-20680;Steve Carroll;San Francisco
SC-20725;Steven Cartwright;Seattle
SC-20770;Stewart Carmichael;San Francisco
SC-20800;Stuart Calhoun;Los Angeles
SC-20845;Sung Chung;Louisville
SD-20485;Shirley Daniels;Phoenix
SE-20110;Sanjit Engle;Lewiston
SF-20065;Sandra Flanagan;Pomona
SF-20200;Sarah Foster;Seattle
SF-20965;Sylvia Foulston;San Diego
SG-20080;Sandra Glassco;Redlands
SG-20470;Sheri Gordon;San Francisco
SG-20605;Speros Goranitis;San Francisco
SH-19975;Sally Hughsby;Caldwell
SH-20395;Shahid Hopkins;San Francisco
SH-20635;Stefanie Holloman;Sacramento
SJ-20125;Sanjit Jacobs;Seattle
SJ-20215;Sarah Jordon;Los Angeles
SJ-20500;Shirley Jackson;Santa Fe
SL-20155;Sara Luxemburg;Salem
SM-20005;Sally Matthias;Scottsdale
SM-20320;Sean Miller;Los Angeles
SM-20950;Suzanne McNair;Los Angeles
SN-20560;Skye Norling;Peoria
SN-20710;Steve Nguyen;Los Angeles
SO-20335;Sean O'Donnell;Los Angeles
SP-20620;Stefania Perrino;Colorado Springs
SP-20650;Stephanie Phelps;San Jose
SP-20860;Sung Pak;Los Angeles
SP-20920;Susan Pistek;Los Angeles
SR-20425;Sharelle Roach;Louisville
SR-20740;Steven Roelle;Los Angeles
SS-20140;Saphhira Shifley;Seattle
SS-20410;Shahid Shariari;Los Angeles
SS-20590;Sonia Sunley;San Francisco
SS-20875;Sung Shariari;Redmond
ST-20530;Shui Tom;Albuquerque
SU-20665;Stephanie Ulpright;Seattle
SV-20365;Seth Vernon;Los Angeles
SV-20785;Stewart Visinsky;Pueblo
SV-20815;Stuart Van;Orem
SV-20935;Susan Vittorini;Mesa
SW-20245;Scot Wooten;Los Angeles
SW-20275;Scott Williamson;Seattle
SW-20455;Shaun Weien;San Francisco
SW-20755;Steven Ward;Seattle
SZ-20035;Sam Zeldin;San Francisco
TB-21190;Thomas Brumley;Riverside
TB-21250;Tim Brockman;Salem
TB-21280;Toby Braunhardt;Phoenix
TB-21400;Tom Boeckenhauer;Seattle
TB-21520;Tracy Blumstein;Portland
TB-21595;Troy Blackwell;Portland
TB-21625;Trudy Brown;San Francisco
TC-20980;Tamara Chand;Seattle
TC-21295;Toby Carlisle;Thornton
TC-21475;Tony Chapman;Aurora
TC-21535;Tracy Collins;Los Angeles
TD-20995;Tamara Dahlen;San Diego
TG-21310;Toby Gnade;Mesa
TG-21640;Trudy Glocke;Pocatello
TH-21100;Thea Hendricks;San Diego
TH-21235;Tiffany House;Long Beach
TM-21010;Tamara Manning;Vacaville
TM-21490;Tony Molinari;San Francisco
TN-21040;Tanja Norvell;Manteca
TP-21130;Theone Pippenger;Springfield
TP-21415;Tom Prescott;Seattle
TP-21565;Tracy Poddar;Eugene
TR-21325;Toby Ritter;San Francisco
TS-21085;Thais Sissman;Phoenix
TS-21160;Theresa Swint;San Francisco
TS-21205;Thomas Seio;North Las Vegas
TS-21340;Toby Swindell;Scottsdale
TS-21370;Todd Sumrall;Los Angeles
TS-21430;Tom Stivers;Seattle
TS-21505;Tony Sayre;Clovis
TS-21610;Troy Staebel;San Francisco
TS-21655;Trudy Schmidt;Rancho Cucamonga
TT-21070;Ted Trevino;Los Angeles
TT-21220;Thomas Thornton;San Francisco
TT-21265;Tim Taslimi;Los Angeles
TT-21460;Tonja Turnell;Los Angeles
TW-21025;Tamara Willingham;Seattle
TZ-21580;Tracy Zic;Louisville
VD-21670;Valerie Dominguez;Pleasant Grove
VF-21715;Vicky Freymann;Los Angeles
VG-21790;Vivek Gonzalez;San Diego
VM-21685;Valerie Mitchum;Lancaster
VM-21835;Vivian Mathis;Mission Viejo
VP-21730;Victor Preis;Las Vegas
VP-21760;Victoria Pisteka;San Francisco
VS-21820;Vivek Sundaresam;Los Angeles
VW-21775;Victoria Wilson;Bellevue
WB-21850;William Brown;Los Angeles
