Tgl.Impor;Jenis Importasi;TARIF CIF;TARIF BM;TARIF PPN;TARIF PPH;Port Of Entry;ID Importir;Nama Importir;Kategori Importir;ALAMAT;Kode Barang;NAMA BARANG;KATEGORI;SUBKATEGORI;HARGA;KUANTITAS; NILAI BRG ; NILAI PABEAN ; BEA MASUK ; NILAI IMPOR ; PPN IMPOR ; PPH IMPOR ; PENERIMAAN IMPOR 
26/01/2014;Umum Komersil;0.075;0.05;0.03;0.0125;California;EM-13825;Elizabeth Moffitt;Merchant Importer;Moreno Valley;OFF-PA-10003790;Xerox 1991;Office Supplies;Paper;174.72;936; 163,537.92 ; 175,803.30 ; 8,790.20 ; 184,593.50 ; 5,537.80 ; 2,307.42 ; 16,635.42 
27/01/2014;Sementara;0.1;0.02;0.005;0.0025;California;SC-20305;Sean Christensen;General Importer;Los Angeles;FUR-CH-10002024;HON 5400 Series Task Chairs for Big and Tall;Furniture;Chairs;2798.92;585; 1,637,368.20 ; 1,801,105.00 ; 36,022.10 ; 1,837,127.10 ; 9,185.60 ; 4,592.82 ; 49,800.52 
30/01/2014;Umum Komersil;0.075;0.05;0.03;0.0125;California;CC-12145;Charles Crestani;General Importer;San Diego;FUR-FU-10001876;"Computer Room Manger, 14""";Furniture;Furnishings;220.36;819; 180,474.84 ; 194,010.50 ; 9,700.50 ; 203,711.00 ; 6,111.30 ; 2,546.39 ; 18,358.19 
30/01/2014;Umum Komersil;0.075;0.05;0.03;0.0125;California;CC-12145;Charles Crestani;General Importer;San Diego;TEC-MA-10000488;Bady BDG101FRU Card Printer;Technology;Machines;1916.98;351; 672,858.58 ; 723,323.00 ; 36,166.20 ; 759,489.20 ; 22,784.70 ; 9,493.62 ; 68,444.52 
03/02/2014;Umum Non Komersil;0.05;0.04;0.025;0.0125;Utah;KH-16630;Ken Heidel;Merchant Importer;Pleasant Grove;OFF-BI-10002432;Wilson Jones Standard D-Ring Binders;Office Supplies;Binders;9.14;351; 3,209.54 ; 3,370.00 ; 134.80 ; 3,504.80 ; 87.60 ; 43.81 ; 266.21 
03/02/2014;Sementara;0.1;0.02;0.005;0.0025;California;RW-19540;Rick Wilson;Merchant Importer;Los Angeles;FUR-FU-10004093;Hand-Finished Solid Wood Document Frame;Furniture;Furnishings;132.92;468; 62,206.56 ; 68,427.20 ; 1,368.50 ; 69,795.70 ; 349.00 ; 174.49 ; 1,891.99 
06/02/2014;Umum Komersil;0.075;0.05;0.03;0.0125;Washington;VW-21775;Victoria Wilson;Merchant Importer;Bellevue;OFF-AR-10001315;Newell 310;Office Supplies;Art;2.28;351; 800.28 ; 860.30 ; 43.00 ; 903.30 ; 27.10 ; 11.29 ; 81.39 
09/02/2014;Umum Komersil;0.075;0.05;0.03;0.0125;California;SJ-20215;Sarah Jordon;General Importer;Los Angeles;FUR-CH-10002774;Global Deluxe Stacking Chair, Gray;Furniture;Chairs;198.92;585; 116,368.20 ; 125,095.80 ; 6,254.80 ; 131,350.60 ; 3,940.50 ; 1,641.88 ; 11,837.18 
15/02/2014;Umum Non Komersil;0.05;0.04;0.025;0.0125;California;JM-16195;Justin MacKendrick;General Importer;Los Angeles;OFF-AP-10001391;Kensington 6 Outlet MasterPiece HOMEOFFICE Power Control Center;Office Supplies;Appliances;535.44;702; 375,878.88 ; 394,672.80 ; 15,786.90 ; 410,459.70 ; 10,261.50 ; 5,130.75 ; 31,179.15 
15/02/2014;Umum Non Komersil;0.05;0.04;0.025;0.0125;California;JM-16195;Justin MacKendrick;General Importer;Los Angeles;OFF-BI-10000546;Avery Durable Binders;Office Supplies;Binders;6.52;585; 3,814.20 ; 4,004.90 ; 160.20 ; 4,165.10 ; 104.10 ; 52.06 ; 316.36 
15/02/2014;Umum Non Komersil;0.05;0.04;0.025;0.0125;California;JM-16195;Justin MacKendrick;General Importer;Los Angeles;OFF-PA-10000477;Xerox 1952;Office Supplies;Paper;16.44;351; 5,770.44 ; 6,059.00 ; 242.40 ; 6,301.40 ; 157.50 ; 78.77 ; 478.67 
15/02/2014;Umum Non Komersil;0.05;0.04;0.025;0.0125;California;JM-16195;Justin MacKendrick;General Importer;Los Angeles;OFF-PA-10004285;Xerox 1959;Office Supplies;Paper;11.36;234; 2,658.24 ; 2,791.20 ; 111.60 ; 2,902.80 ; 72.60 ; 36.29 ; 220.49 
15/02/2014;Umum Non Komersil;0.05;0.04;0.025;0.0125;California;JM-16195;Justin MacKendrick;General Importer;Los Angeles;OFF-BI-10001628;"Acco Data Flex Cable Posts For Top & Bottom Load Binders, 6"" Capacity";Office Supplies;Binders;36.72;585; 21,481.20 ; 22,555.30 ; 902.20 ; 23,457.50 ; 586.40 ; 293.22 ; 1,781.82 
16/02/2014;Umum Komersil;0.075;0.05;0.03;0.0125;California;RD-19585;Rob Dowd;General Importer;Los Angeles;OFF-LA-10002762;Avery 485;Office Supplies;Labels;80.71;819; 66,101.49 ; 71,059.10 ; 3,553.00 ; 74,612.10 ; 2,238.40 ; 932.65 ; 6,724.05 
18/02/2014;Umum Komersil;0.075;0.05;0.03;0.0125;California;GT-14755;Guy Thornton;General Importer;Long Beach;OFF-LA-10003510;Avery 4027 File Folder Labels for Dot Matrix Printers, 5000 Labels per Box, White;Office Supplies;Labels;59.06;234; 13,820.04 ; 14,856.50 ; 742.80 ; 15,599.30 ; 468.00 ; 194.99 ; 1,405.79 
18/02/2014;Umum Komersil;0.075;0.05;0.03;0.0125;California;GT-14755;Guy Thornton;General Importer;Long Beach;FUR-TA-10001676;Hon 61000 Series Interactive Training Tables;Furniture;Tables;34.54;117; 4,041.65 ; 4,344.80 ; 217.20 ; 4,562.00 ; 136.90 ; 57.03 ; 411.13 
18/02/2014;Umum Komersil;0.075;0.05;0.03;0.0125;California;AB-10600;Ann Blume;Merchant Importer;Los Angeles;OFF-LA-10002271;Smead Alpha-Z Color-Coded Second Alphabetical Labels and Starter Set;Office Supplies;Labels;6.24;351; 2,190.24 ; 2,354.50 ; 117.70 ; 2,472.20 ; 74.20 ; 30.90 ; 222.80 
21/02/2014;Umum Non Komersil;0.05;0.04;0.025;0.0125;New Mexico;JE-15715;Joe Elijah;General Importer;Las Cruces;OFF-PA-10000249;Easy-staple paper;Office Supplies;Paper;45.12;468; 21,116.16 ; 22,172.00 ; 886.90 ; 23,058.90 ; 576.50 ; 288.24 ; 1,751.64 
27/02/2014;Umum Non Komersil;0.05;0.04;0.025;0.0125;Washington;NP-18670;Nora Paige;General Importer;Seattle;TEC-AC-10002076;Microsoft Natural Keyboard Elite;Technology;Accessories;529.92;1053; 558,005.76 ; 585,906.00 ; 23,436.20 ; 609,342.20 ; 15,233.60 ; 7,616.78 ; 46,286.58 
01/03/2014;Umum Non Komersil;0.05;0.04;0.025;0.0125;California;DH-13075;Dave Hallsten;Merchant Importer;Los Angeles;TEC-PH-10000376;Square Credit Card Reader;Technology;Phones;13.98;234; 3,272.26 ; 3,435.90 ; 137.40 ; 3,573.30 ; 89.30 ; 44.67 ; 271.37 
01/03/2014;Umum Non Komersil;0.05;0.04;0.025;0.0125;California;DH-13075;Dave Hallsten;Merchant Importer;Los Angeles;FUR-CH-10003396;Global Deluxe Steno Chair;Furniture;Chairs;181.75;351; 63,794.95 ; 66,984.70 ; 2,679.40 ; 69,664.10 ; 1,741.60 ; 870.80 ; 5,291.80 
02/03/2014;Umum Komersil;0.075;0.05;0.03;0.0125;Washington;DK-13090;Dave Kipp;General Importer;Seattle;FUR-TA-10001768;Hon Racetrack Conference Tables;Furniture;Tables;784.53;351; 275,370.03 ; 296,022.80 ; 14,801.10 ; 310,823.90 ; 9,324.70 ; 3,885.30 ; 28,011.10 
06/03/2014;Umum Komersil;0.075;0.05;0.03;0.0125;California;JL-15850;John Lucas;General Importer;San Francisco;TEC-CO-10003763;Canon PC1060 Personal Laser Copier;Technology;Copiers;1117.98;234; 261,608.26 ; 281,228.90 ; 14,061.40 ; 295,290.30 ; 8,858.70 ; 3,691.13 ; 26,611.23 
06/03/2014;Umum Komersil;0.075;0.05;0.03;0.0125;California;JL-15850;John Lucas;General Importer;San Francisco;FUR-FU-10000308;Deflect-o Glass Clear Studded Chair Mats;Furniture;Furnishings;428.26;819; 350,744.94 ; 377,050.80 ; 18,852.50 ; 395,903.30 ; 11,877.10 ; 4,948.79 ; 35,678.39 
13/03/2014;Sementara;0.1;0.02;0.005;0.0025;Washington;MC-17275;Marc Crier;General Importer;Pasco;FUR-BO-10004409;Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray;Furniture;Bookcases;139.96;234; 32,750.64 ; 36,025.70 ; 720.50 ; 36,746.20 ; 183.70 ; 91.87 ; 996.07 
13/03/2014;Umum Non Komersil;0.05;0.04;0.025;0.0125;California;NF-18595;Nicole Fjeld;Sole Agent Importer;San Jose;FUR-CH-10004063;Global Deluxe High-Back Manager's Chair;Furniture;Chairs;911.14;468; 426,411.65 ; 447,732.20 ; 17,909.30 ; 465,641.50 ; 11,641.00 ; 5,820.52 ; 35,370.82 
13/03/2014;Umum Non Komersil;0.05;0.04;0.025;0.0125;California;NF-18595;Nicole Fjeld;Sole Agent Importer;San Jose;FUR-FU-10001979;Dana Halogen Swing-Arm Architect Lamp;Furniture;Furnishings;319.76;936; 299,295.36 ; 314,260.10 ; 12,570.40 ; 326,830.50 ; 8,170.80 ; 4,085.38 ; 24,826.58 
15/03/2014;Umum Komersil;0.075;0.05;0.03;0.0125;Utah;KS-16300;Karen Seio;Merchant Importer;Lehi;TEC-PH-10003356;SmartStand Mobile Device Holder, Assorted Colors;Technology;Phones;13.78;351; 4,835.38 ; 5,198.00 ; 259.90 ; 5,457.90 ; 163.70 ; 68.22 ; 491.82 
16/03/2014;Umum Non Komersil;0.05;0.04;0.025;0.0125;Washington;JE-15475;Jeremy Ellison;General Importer;Seattle;FUR-TA-10001039;KI Adjustable-Height Table;Furniture;Tables;169.96;234; 39,770.64 ; 41,759.20 ; 1,670.40 ; 43,429.60 ; 1,085.70 ; 542.87 ; 3,298.97 
16/03/2014;Umum Komersil;0.075;0.05;0.03;0.0125;California;MF-18250;Monica Federle;Merchant Importer;Los Angeles;FUR-FU-10001215;"Howard Miller 11-1/2"" Diameter Brentwood Wall Clock";Furniture;Furnishings;42.13;117; 4,929.21 ; 5,298.90 ; 264.90 ; 5,563.80 ; 166.90 ; 69.55 ; 501.35 
19/03/2014;Sementara;0.1;0.02;0.005;0.0025;Washington;FH-14365;Fred Hopkins;Merchant Importer;Seattle;OFF-ST-10000142;Deluxe Rollaway Locking File with Drawer;Office Supplies;Storage;1244.64;351; 436,868.64 ; 480,555.50 ; 9,611.10 ; 490,166.60 ; 2,450.80 ; 1,225.42 ; 13,287.32 
19/03/2014;Sementara;0.1;0.02;0.005;0.0025;Washington;FH-14365;Fred Hopkins;Merchant Importer;Seattle;OFF-PA-10004359;Multicolor Computer Printout Paper;Office Supplies;Paper;207.70;234; 48,601.80 ; 53,462.00 ; 1,069.20 ; 54,531.20 ; 272.70 ; 136.33 ; 1,478.23 
19/03/2014;Sementara;0.1;0.02;0.005;0.0025;Washington;FH-14365;Fred Hopkins;Merchant Importer;Seattle;TEC-CO-10001766;Canon PC940 Copier;Technology;Copiers;3142.93;819; 2,574,059.67 ; 2,831,465.60 ; 56,629.30 ; 2,888,094.90 ; 14,440.50 ; 7,220.24 ; 78,290.04 
19/03/2014;Umum Komersil;0.075;0.05;0.03;0.0125;California;BK-11260;Berenike Kampe;General Importer;San Bernardino;OFF-BI-10000088;GBC Imprintable Covers;Office Supplies;Binders;15.57;234; 3,642.91 ; 3,916.10 ; 195.80 ; 4,111.90 ; 123.40 ; 51.40 ; 370.60 
19/03/2014;Umum Komersil;0.075;0.05;0.03;0.0125;California;BK-11260;Berenike Kampe;General Importer;San Bernardino;OFF-LA-10000240;Self-Adhesive Address Labels for Typewriters by Universal;Office Supplies;Labels;12.62;234; 2,953.08 ; 3,174.60 ; 158.70 ; 3,333.30 ; 100.00 ; 41.67 ; 300.37 
19/03/2014;Umum Komersil;0.075;0.05;0.03;0.0125;California;BK-11260;Berenike Kampe;General Importer;San Bernardino;OFF-PA-10002749;Wirebound Message Books, 5-1/2 x 4 Forms, 2 or 4 Forms per Page;Office Supplies;Paper;34.14;702; 23,966.28 ; 25,763.80 ; 1,288.20 ; 27,052.00 ; 811.60 ; 338.15 ; 2,437.95 
19/03/2014;Umum Komersil;0.075;0.05;0.03;0.0125;California;BK-11260;Berenike Kampe;General Importer;San Bernardino;OFF-SU-10001165;Acme Elite Stainless Steel Scissors;Office Supplies;Supplies;29.36;468; 13,740.48 ; 14,771.00 ; 738.60 ; 15,509.60 ; 465.30 ; 193.87 ; 1,397.77 
19/03/2014;Sementara;0.1;0.02;0.005;0.0025;California;GA-14725;Guy Armstrong;General Importer;San Francisco;OFF-FA-10001561;Stockwell Push Pins;Office Supplies;Fasteners;5.90;585; 3,451.50 ; 3,796.70 ; 75.90 ; 3,872.60 ; 19.40 ; 9.68 ; 104.98 
19/03/2014;Umum Komersil;0.075;0.05;0.03;0.0125;California;MC-18130;Mike Caudle;Merchant Importer;Seattle;OFF-PA-10001947;Xerox 1974;Office Supplies;Paper;9.96;234; 2,330.64 ; 2,505.40 ; 125.30 ; 2,630.70 ; 78.90 ; 32.88 ; 237.08 
22/03/2014;Sementara;0.1;0.02;0.005;0.0025;California;RD-19900;Ruben Dartt;General Importer;San Diego;TEC-PH-10000376;Square Credit Card Reader;Technology;Phones;13.98;234; 3,272.26 ; 3,599.50 ; 72.00 ; 3,671.50 ; 18.40 ; 9.18 ; 99.58 
22/03/2014;Umum Komersil;0.075;0.05;0.03;0.0125;California;JD-16150;Justin Deggeller;Merchant Importer;Los Angeles;OFF-PA-10003127;Easy-staple paper;Office Supplies;Paper;101.52;468; 47,511.36 ; 51,074.70 ; 2,553.70 ; 53,628.40 ; 1,608.90 ; 670.36 ; 4,832.96 
22/03/2014;Umum Komersil;0.075;0.05;0.03;0.0125;California;JD-16150;Justin Deggeller;Merchant Importer;Los Angeles;TEC-PH-10001795;ClearOne CHATAttach 160 - speaker phone;Technology;Phones;1484.98;351; 521,226.58 ; 560,318.60 ; 28,015.90 ; 588,334.50 ; 17,650.00 ; 7,354.18 ; 53,020.08 
22/03/2014;Umum Komersil;0.075;0.05;0.03;0.0125;California;JD-16150;Justin Deggeller;Merchant Importer;Los Angeles;FUR-FU-10000747;Tenex B1-RE Series Chair Mats for Low Pile Carpets;Furniture;Furnishings;89.96;234; 21,050.64 ; 22,629.40 ; 1,131.50 ; 23,760.90 ; 712.80 ; 297.01 ; 2,141.31 
23/03/2014;Umum Komersil;0.075;0.05;0.03;0.0125;California;BP-11095;Bart Pistole;Merchant Importer;Los Angeles;OFF-PA-10000380;"REDIFORM Incoming/Outgoing Call Register, 11"" X 8 1/2"", 100 Messages";Office Supplies;Paper;29.36;468; 13,740.48 ; 14,771.00 ; 738.60 ; 15,509.60 ; 465.30 ; 193.87 ; 1,397.77 
23/03/2014;Sementara;0.1;0.02;0.005;0.0025;California;AM-10360;Alice McCarthy;Merchant Importer;Los Angeles;OFF-PA-10000659;TOPS Carbonless Receipt Book, Four 2-3/4 x 7-1/4 Money Receipts per Page;Office Supplies;Paper;181.72;1287; 233,873.64 ; 257,261.00 ; 5,145.20 ; 262,406.20 ; 1,312.00 ; 656.02 ; 7,113.22 
23/03/2014;Sementara;0.1;0.02;0.005;0.0025;California;AM-10360;Alice McCarthy;Merchant Importer;Los Angeles;TEC-AC-10000736;Logitech G600 MMO Gaming Mouse;Technology;Accessories;236.97;351; 83,176.47 ; 91,494.10 ; 1,829.90 ; 93,324.00 ; 466.60 ; 233.31 ; 2,529.81 
24/03/2014;Umum Non Komersil;0.05;0.04;0.025;0.0125;Washington;CP-12085;Cathy Prescott;Merchant Importer;Covington;FUR-FU-10003832;Eldon Expressions Punched Metal & Wood Desk Accessories, Black & Cherry;Furniture;Furnishings;41.90;585; 24,511.50 ; 25,737.10 ; 1,029.50 ; 26,766.60 ; 669.20 ; 334.58 ; 2,033.28 
26/03/2014;Umum Komersil;0.075;0.05;0.03;0.0125;Washington;EB-13840;Ellis Ballard;Merchant Importer;Seattle;FUR-TA-10001889;Bush Advantage Collection Racetrack Conference Table;Furniture;Tables;3385.68;936; 3,168,996.48 ; 3,406,671.20 ; 170,333.60 ; 3,577,004.80 ; 107,310.10 ; 44,712.56 ; 322,356.26 
27/03/2014;Umum Komersil;0.075;0.05;0.03;0.0125;Washington;MV-17485;Mark Van Huff;General Importer;Los Angeles;OFF-ST-10000636;Rogers Profile Extra Capacity Storage Tub;Office Supplies;Storage;78.70;585; 46,039.50 ; 49,492.50 ; 2,474.60 ; 51,967.10 ; 1,559.00 ; 649.59 ; 4,683.19 
28/03/2014;Umum Komersil;0.075;0.05;0.03;0.0125;California;AB-10165;Alan Barnes;General Importer;Los Angeles;OFF-PA-10000743;Xerox 1977;Office Supplies;Paper;28.40;585; 16,614.00 ; 17,860.10 ; 893.00 ; 18,753.10 ; 562.60 ; 234.41 ; 1,690.01 
29/03/2014;Umum Komersil;0.075;0.05;0.03;0.0125;Washington;DO-13435;Denny Ordway;General Importer;Seattle;OFF-AP-10001947;Acco 6 Outlet Guardian Premium Plus Surge Suppressor;Office Supplies;Appliances;69.28;468; 32,423.04 ; 34,854.80 ; 1,742.70 ; 36,597.50 ; 1,097.90 ; 457.47 ; 3,298.07 
29/03/2014;Umum Non Komersil;0.05;0.04;0.025;0.0125;California;RB-19435;Richard Bierner;General Importer;Roseville;TEC-AC-10003116;Memorex Froggy Flash Drive 8 GB;Technology;Accessories;50.25;351; 17,637.75 ; 18,519.60 ; 740.80 ; 19,260.40 ; 481.50 ; 240.76 ; 1,463.06 
29/03/2014;Umum Non Komersil;0.05;0.04;0.025;0.0125;California;RB-19435;Richard Bierner;General Importer;Roseville;OFF-PA-10001736;Xerox 1880;Office Supplies;Paper;206.64;702; 145,061.28 ; 152,314.30 ; 6,092.60 ; 158,406.90 ; 3,960.20 ; 1,980.09 ; 12,032.89 
29/03/2014;Umum Non Komersil;0.05;0.04;0.025;0.0125;California;RB-19435;Richard Bierner;General Importer;Roseville;FUR-FU-10004586;G.E. Longer-Life Indoor Recessed Floodlight Bulbs;Furniture;Furnishings;16.92;351; 5,938.92 ; 6,235.90 ; 249.40 ; 6,485.30 ; 162.10 ; 81.07 ; 492.57 
29/03/2014;Umum Non Komersil;0.05;0.04;0.025;0.0125;California;RB-19435;Richard Bierner;General Importer;Roseville;OFF-PA-10001609;Tops Wirebound Message Log Books;Office Supplies;Paper;6.87;351; 2,411.37 ; 2,531.90 ; 101.30 ; 2,633.20 ; 65.80 ; 32.92 ; 200.02 
02/04/2014;Umum Komersil;0.075;0.05;0.03;0.0125;Arizona;JL-15850;John Lucas;General Importer;San Francisco;TEC-PH-10003095;Samsung HM1900 Bluetooth Headset;Technology;Phones;82.80;585; 48,438.00 ; 52,070.90 ; 2,603.50 ; 54,674.40 ; 1,640.20 ; 683.43 ; 4,927.13 
05/04/2014;Khusus ;0.1;0.01;0;0;Washington;JF-15415;Jennifer Ferguson;General Importer;Spokane;TEC-AC-10001767;SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card;Technology;Accessories;233.94;702; 164,225.88 ; 180,648.50 ; 1,806.50 ; 182,455.00 ; -   ; -   ; 1,806.50 
05/04/2014;Khusus ;0.1;0.01;0;0;Washington;JF-15415;Jennifer Ferguson;General Importer;Spokane;OFF-AR-10002467;Dixon Ticonderoga Pencils;Office Supplies;Art;15.84;936; 14,826.24 ; 16,308.90 ; 163.10 ; 16,472.00 ; -   ; -   ; 163.10 
05/04/2014;Umum Komersil;0.075;0.05;0.03;0.0125;California;CA-11965;Carol Adams;Merchant Importer;Los Angeles;FUR-CH-10003973;GuestStacker Chair with Chrome Finish Legs;Furniture;Chairs;889.22;351; 312,117.62 ; 335,526.40 ; 16,776.30 ; 352,302.70 ; 10,569.10 ; 4,403.78 ; 31,749.18 
10/04/2014;Umum Komersil;0.075;0.05;0.03;0.0125;California;DM-12955;Dario Medina;Merchant Importer;Mesa;OFF-BI-10000773;Insertable Tab Post Binder Dividers;Office Supplies;Binders;10.83;234; 2,534.69 ; 2,724.80 ; 136.20 ; 2,861.00 ; 85.80 ; 35.76 ; 257.76 
11/04/2014;Umum Non Komersil;0.05;0.04;0.025;0.0125;California;AR-10540;Andy Reiter;General Importer;Los Angeles;TEC-CO-10001943;Canon PC-428 Personal Copier;Technology;Copiers;635.97;468; 297,633.02 ; 312,514.70 ; 12,500.60 ; 325,015.30 ; 8,125.40 ; 4,062.69 ; 24,688.69 
11/04/2014;Umum Non Komersil;0.05;0.04;0.025;0.0125;California;AR-10540;Andy Reiter;General Importer;Los Angeles;OFF-PA-10003127;Easy-staple paper;Office Supplies;Paper;50.76;234; 11,877.84 ; 12,471.70 ; 498.90 ; 12,970.60 ; 324.30 ; 162.13 ; 985.33 
12/04/2014;Umum Non Komersil;0.05;0.04;0.025;0.0125;Washington;RD-19660;Robert Dilbeck;Sole Agent Importer;Seattle;OFF-ST-10000419;Rogers Jumbo File, Granite;Office Supplies;Storage;37.74;351; 13,246.74 ; 13,909.10 ; 556.40 ; 14,465.50 ; 361.60 ; 180.82 ; 1,098.82 
13/04/2014;Sementara;0.1;0.02;0.005;0.0025;Arizona;HJ-14875;Heather Jas;Sole Agent Importer;Mesa;OFF-PA-10002968;Xerox 1973;Office Supplies;Paper;51.82;351; 18,187.42 ; 20,006.20 ; 400.10 ; 20,406.30 ; 102.00 ; 51.02 ; 553.12 
13/04/2014;Sementara;0.1;0.02;0.005;0.0025;Arizona;HJ-14875;Heather Jas;Sole Agent Importer;Mesa;OFF-PA-10000788;Xerox 210;Office Supplies;Paper;25.10;702; 17,623.01 ; 19,385.30 ; 387.70 ; 19,773.00 ; 98.90 ; 49.43 ; 536.03 
13/04/2014;Umum Non Komersil;0.05;0.04;0.025;0.0125;California;EB-14110;Eugene Barchas;General Importer;Los Angeles;FUR-TA-10002530;"Iceberg OfficeWorks 42"" Round Tables";Furniture;Tables;239.57;234; 56,058.91 ; 58,861.90 ; 2,354.50 ; 61,216.40 ; 1,530.40 ; 765.21 ; 4,650.11 
13/04/2014;Umum Non Komersil;0.05;0.04;0.025;0.0125;California;EB-14110;Eugene Barchas;General Importer;Los Angeles;TEC-PH-10001494;Polycom CX600 IP Phone VoIP phone;Technology;Phones;477.92;234; 111,833.28 ; 117,424.90 ; 4,697.00 ; 122,121.90 ; 3,053.00 ; 1,526.52 ; 9,276.52 
13/04/2014;Umum Komersil;0.075;0.05;0.03;0.0125;California;ZC-21910;Zuschuss Carroll;General Importer;Edmonds;TEC-AC-10002800;Plantronics Audio 478 Stereo USB Headset;Technology;Accessories;195.96;468; 91,709.28 ; 98,587.50 ; 4,929.40 ; 103,516.90 ; 3,105.50 ; 1,293.96 ; 9,328.86 
13/04/2014;Umum Komersil;0.075;0.05;0.03;0.0125;California;ZC-21910;Zuschuss Carroll;General Importer;Edmonds;FUR-TA-10003954;Hon 94000 Series Round Tables;Furniture;Tables;707.83;351; 248,449.03 ; 267,082.70 ; 13,354.10 ; 280,436.80 ; 8,413.10 ; 3,505.46 ; 25,272.66 
13/04/2014;Umum Komersil;0.075;0.05;0.03;0.0125;California;BT-11395;Bill Tyler;Merchant Importer;Los Angeles;TEC-PH-10003645;Aastra 57i VoIP phone;Technology;Phones;256.58;234; 60,038.78 ; 64,541.70 ; 3,227.10 ; 67,768.80 ; 2,033.10 ; 847.11 ; 6,107.31 
13/04/2014;Umum Komersil;0.075;0.05;0.03;0.0125;California;BT-11395;Bill Tyler;Merchant Importer;Los Angeles;FUR-FU-10004973;Flat Face Poster Frame;Furniture;Furnishings;35.68;234; 8,349.12 ; 8,975.30 ; 448.80 ; 9,424.10 ; 282.70 ; 117.80 ; 849.30 
