No.Dok.Impor;Tgl.Impor;Jenis Importasi;Port Of Entry;ID Importir;Nama Importir;Kategori Importir;Alamat;Kode Barang;Nama Barang;Kategori;Sub Kategori;Harga;Kuantitas; Nilai Barang ; Nilai Pabean ; Bea Masuk ; Nilai Impor ; PPn Impor ; PPh Impor ; Penerimaan Negara atas Impor ;;
CA-2012-101707;27/08/2014;Umum Komersil;California;PF-19165;Philip Fox;General Importer;San Diego;OFF-SU-10001218;Fiskars Softgrip Scissors;Office Supplies;Supplies;29.94;351; 10,508.94 ; 11,297.11 ; 564.86 ; 11,861.97 ; 355.86 ; 148.27 ; 1,068.99 ;;
CA-2012-101707;27/08/2014;Umum Komersil;California;PF-19165;Philip Fox;General Importer;San Diego;OFF-PA-10002968;Xerox 1973;Office Supplies;Paper;109.20;585; 63,882.00 ; 68,673.15 ; 3,433.66 ; 72,106.81 ; 2,163.20 ; 901.34 ; 6,498.20 ;;
CA-2012-101910;27/11/2014;Umum Komersil;California;CD-11920;Carlos Daly;General Importer;Lake Elsinore;FUR-CH-10002647;Situations Contoured Folding Chairs, 4/Set;Furniture;Chairs;278.92;585; 163,168.20 ; 175,405.82 ; 8,770.29 ; 184,176.11 ; 5,525.28 ; 2,302.20 ; 16,597.78 ;;
CA-2012-101924;04/09/2014;Umum Komersil;Oregon;KB-16585;Ken Black;Merchant Importer;Medford;OFF-BI-10000962;"Acco Flexible ACCOHIDE Square Ring Data Binder, Dark Blue, 11 1/2"" X 14"" 7/8""";Office Supplies;Binders;7.76;234; 1,816.31 ; 1,952.53 ; 97.63 ; 2,050.16 ; 61.50 ; 25.63 ; 184.76 ;;
CA-2012-102036;21/09/2014;Umum Komersil;Washington;CS-12130;Chad Sievert;General Importer;Seattle;OFF-ST-10003123;Fellowes Bases and Tops For Staxonsteel/High-Stak Systems;Office Supplies;Storage;193.74;702; 136,005.48 ; 146,205.89 ; 7,310.29 ; 153,516.19 ; 4,605.49 ; 1,918.95 ; 13,834.73 ;;
CA-2012-102316;01/03/2014;Umum Non Komersil;California;DH-13075;Dave Hallsten;Merchant Importer;Los Angeles;TEC-PH-10000376;Square Credit Card Reader;Technology;Phones;13.98;234; 3,272.26 ; 3,435.87 ; 137.43 ; 3,573.30 ; 89.33 ; 44.67 ; 271.43 ;;
CA-2012-102316;01/03/2014;Umum Non Komersil;California;DH-13075;Dave Hallsten;Merchant Importer;Los Angeles;FUR-CH-10003396;Global Deluxe Steno Chair;Furniture;Chairs;181.75;351; 63,794.95 ; 66,984.70 ; 2,679.39 ; 69,664.09 ; 1,741.60 ; 870.80 ; 5,291.79 ;;
CA-2012-102848;07/11/2014;Umum Non Komersil;California;KB-16240;Karen Bern;Merchant Importer;Los Angeles;FUR-CH-10000595;Safco Contoured Stacking Chairs;Furniture;Chairs;189.72;117; 22,197.24 ; 23,307.10 ; 932.28 ; 24,239.39 ; 605.98 ; 302.99 ; 1,841.26 ;;
CA-2012-102855;05/04/2014;Khusus ;Washington;JF-15415;Jennifer Ferguson;General Importer;Spokane;OFF-AR-10002467;Dixon Ticonderoga Pencils;Office Supplies;Art;15.84;936; 14,826.24 ; 16,308.86 ; 163.09 ; 16,471.95 ;;; 163.09 ;;
CA-2012-102855;05/04/2014;Khusus ;Washington;JF-15415;Jennifer Ferguson;General Importer;Spokane;TEC-AC-10001767;SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card;Technology;Accessories;233.94;702; 164,225.88 ; 180,648.47 ; 1,806.48 ; 182,454.95 ;;; 1,806.48 ;;
CA-2012-103716;30/04/2014;Umum Komersil;California;KB-16585;Ken Black;Merchant Importer;San Francisco;TEC-PH-10000347;Cush Cases Heavy Duty Rugged Cover Case for Samsung Galaxy S5 - Purple;Technology;Phones;14.80;585; 8,658.00 ; 9,307.35 ; 465.37 ; 9,772.72 ; 293.18 ; 122.16 ; 880.71 ;;
CA-2012-103716;30/04/2014;Umum Komersil;California;KB-16585;Ken Black;Merchant Importer;San Francisco;OFF-AR-10000658;Newell 324;Office Supplies;Art;31.65;351; 11,109.15 ; 11,942.34 ; 597.12 ; 12,539.45 ; 376.18 ; 156.74 ; 1,130.04 ;;
CA-2012-103723;01/12/2014;Umum Komersil;Washington;BT-11305;Beth Thompson;Sole Agent Importer;Seattle;OFF-AR-10003251;Prang Drawing Pencil Set;Office Supplies;Art;8.90;585; 5,206.50 ; 5,596.99 ; 279.85 ; 5,876.84 ; 176.31 ; 73.46 ; 529.61 ;;
CA-2012-103835;24/09/2014;Umum Komersil;California;SC-20440;Shaun Chance;Merchant Importer;Los Angeles;FUR-FU-10000010;DAX Value U-Channel Document Frames, Easel Back;Furniture;Furnishings;11.91;351; 4,180.41 ; 4,493.94 ; 224.70 ; 4,718.64 ; 141.56 ; 58.98 ; 425.24 ;;
CA-2012-103835;24/09/2014;Umum Komersil;California;SC-20440;Shaun Chance;Merchant Importer;Los Angeles;OFF-AP-10002651;Hoover Upright Vacuum With Dirt Cup;Office Supplies;Appliances;1154.12;468; 540,128.16 ; 580,637.77 ; 29,031.89 ; 609,669.66 ; 18,290.09 ; 7,620.87 ; 5,942.85 ;;
CA-2012-104346;11/12/2014;Umum Komersil;Colorado;IM-15070;Irene Maddox;General Importer;Colorado Springs;OFF-AR-10001545;Newell 326;Office Supplies;Art;1.22;351; 429.62 ; 461.85 ; 23.09 ; 484.94 ; 14.55 ; 6.06 ; 43.70 ;;
CA-2012-104346;11/12/2014;Umum Komersil;Colorado;IM-15070;Irene Maddox;General Importer;Colorado Springs;OFF-AR-10001473;Newell 313;Office Supplies;Art;8.12;585; 4,750.20 ; 5,106.47 ; 255.32 ; 5,361.79 ; 160.85 ; 67.02 ; 483.20 ;;
CA-2012-104346;11/12/2014;Umum Komersil;Colorado;IM-15070;Irene Maddox;General Importer;Colorado Springs;OFF-PA-10003256;Avery Personal Creations Heavyweight Cards;Office Supplies;Paper;24.70;351; 8,668.30 ; 9,318.42 ; 465.92 ; 9,784.34 ; 293.53 ; 122.30 ; 881.76 ;;
CA-2012-104346;11/12/2014;Umum Komersil;Colorado;IM-15070;Irene Maddox;General Importer;Colorado Springs;FUR-FU-10002456;Master Caster Door Stop, Large Neon Orange;Furniture;Furnishings;43.42;1053; 45,717.05 ; 49,145.83 ; 2,457.29 ; 51,603.12 ; 1,548.09 ; 645.04 ; 4,650.42 ;;
CA-2012-104346;11/12/2014;Umum Komersil;Colorado;IM-15070;Irene Maddox;General Importer;Colorado Springs;FUR-FU-10001473;DAX Wood Document Frame;Furniture;Furnishings;49.92;585; 29,203.20 ; 31,393.44 ; 1,569.67 ; 32,963.11 ; 988.89 ; 412.04 ; 2,970.60 ;;
CA-2012-104346;11/12/2014;Umum Komersil;Colorado;IM-15070;Irene Maddox;General Importer;Colorado Springs;TEC-AC-10004396;Logitech Keyboard K120;Technology;Accessories;54.08;468; 25,309.44 ; 27,207.65 ; 1,360.38 ; 28,568.03 ; 857.04 ; 357.10 ; 2,574.52 ;;
CA-2012-104346;11/12/2014;Umum Komersil;Colorado;IM-15070;Irene Maddox;General Importer;Colorado Springs;FUR-BO-10003450;Bush Westfield Collection Bookcases, Dark Cherry Finish;Furniture;Bookcases;65.58;468; 30,689.57 ; 32,991.29 ; 1,649.56 ; 34,640.85 ; 1,039.23 ; 433.01 ; 3,121.80 ;;
CA-2012-104346;11/12/2014;Umum Komersil;Colorado;IM-15070;Irene Maddox;General Importer;Colorado Springs;OFF-PA-10001166;Canon 1932;Office Supplies;Paper;82.06;351; 28,801.66 ; 30,961.78 ; 1,548.09 ; 32,509.87 ; 975.30 ; 406.37 ; 2,929.76 ;;
CA-2012-104346;11/12/2014;Umum Komersil;Colorado;IM-15070;Irene Maddox;General Importer;Colorado Springs;FUR-TA-10000849;Bevis Rectangular Conference Tables;Furniture;Tables;359.95;585; 210,570.75 ; 226,363.56 ; 11,318.18 ; 237,681.73 ; 7,130.45 ; 2,971.02 ; 21,419.65 ;;
CA-2012-104486;01/05/2014;Umum Komersil;California;PO-18850;Patrick O'Brill;General Importer;San Francisco;OFF-BI-10000309;"GBC Twin Loop Wire Binding Elements, 9/16"" Spine, Black";Office Supplies;Binders;11.18;117; 1,307.59 ; 1,405.66 ; 70.28 ; 1,475.94 ; 44.28 ; 18.45 ; 133.01 ;;
CA-2012-104486;01/05/2014;Umum Komersil;California;PO-18850;Patrick O'Brill;General Importer;San Francisco;OFF-SU-10002573;"Acme 10"" Easy Grip Assistive Scissors";Office Supplies;Supplies;33.06;234; 7,736.04 ; 8,316.24 ; 415.81 ; 8,732.06 ; 261.96 ; 109.15 ; 786.92 ;;
CA-2012-104486;01/05/2014;Umum Komersil;California;PO-18850;Patrick O'Brill;General Importer;San Francisco;OFF-ST-10000876;Eldon Simplefile Box Office;Office Supplies;Storage;34.32;351; 12,046.32 ; 12,949.79 ; 647.49 ; 13,597.28 ; 407.92 ; 169.97 ; 1,225.37 ;;
CA-2012-104493;02/10/2014;Umum Komersil;California;EB-13705;Ed Braxton;Merchant Importer;San Diego;OFF-BI-10004817;GBC Personal VeloBind Strips;Office Supplies;Binders;51.50;702; 36,155.81 ; 38,867.49 ; 1,943.37 ; 40,810.87 ; 1,224.33 ; 510.14 ; 3,677.84 ;;
CA-2012-104948;13/11/2014;Umum Komersil;California;KH-16510;Keith Herrera;General Importer;San Bernardino;OFF-BI-10001267;Universal Recycled Hanging Pressboard Report Binders, Letter Size;Office Supplies;Binders;7.87;234; 1,842.05 ; 1,980.20 ; 99.01 ; 2,079.21 ; 62.38 ; 25.99 ; 187.38 ;;
CA-2012-104948;13/11/2014;Umum Komersil;California;KH-16510;Keith Herrera;General Importer;San Bernardino;OFF-PA-10004610;Xerox 1900;Office Supplies;Paper;22.96;819; 18,804.24 ; 20,214.56 ; 1,010.73 ; 21,225.29 ; 636.76 ; 265.32 ; 1,912.80 ;;
CA-2012-104948;13/11/2014;Umum Komersil;California;KH-16510;Keith Herrera;General Importer;San Bernardino;FUR-BO-10004357;O'Sullivan Living Dimensions 3-Shelf Bookcases;Furniture;Bookcases;679.33;468; 317,927.38 ; 341,771.93 ; 17,088.60 ; 358,860.53 ; 10,765.82 ; 4,485.76 ; 32,340.17 ;;
CA-2012-105312;06/11/2014;Sementara;Arizona;MT-17815;Meg Tillman;General Importer;Scottsdale;OFF-BI-10002049;UniKeep View Case Binders;Office Supplies;Binders;1.40;351; 491.75 ; 540.93 ; 10.82 ; 551.74 ; 2.76 ; 1.38 ; 14.96 ;;
CA-2012-105312;06/11/2014;Sementara;Arizona;MT-17815;Meg Tillman;General Importer;Scottsdale;OFF-EN-10002600;Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2;Office Supplies;Envelopes;4.08;351; 1,432.08 ; 1,575.29 ; 31.51 ; 1,606.79 ; 8.03 ; 4.02 ; 43.56 ;;
CA-2012-105347;24/11/2014;Umum Komersil;California;DP-13000;Darren Powers;General Importer;Los Angeles;OFF-AR-10003045;Prang Colored Pencils;Office Supplies;Art;9.70;585; 5,674.50 ; 6,100.09 ; 305.00 ; 6,405.09 ; 192.15 ; 80.06 ; 577.22 ;;
CA-2012-105347;24/11/2014;Umum Komersil;California;DP-13000;Darren Powers;General Importer;Los Angeles;OFF-PA-10000675;Xerox 1919;Office Supplies;Paper;359.91;1053; 378,985.23 ; 407,409.12 ; 20,370.46 ; 427,779.58 ; 12,833.39 ; 5,347.24 ; 38,551.09 ;;
CA-2012-105725;18/02/2014;Umum Komersil;California;GT-14755;Guy Thornton;General Importer;Long Beach;FUR-TA-10001676;Hon 61000 Series Interactive Training Tables;Furniture;Tables;34.54;117; 4,041.65 ; 4,344.77 ; 217.24 ; 4,562.01 ; 136.86 ; 57.03 ; 411.12 ;;
CA-2012-105725;18/02/2014;Umum Komersil;California;GT-14755;Guy Thornton;General Importer;Long Beach;OFF-LA-10003510;Avery 4027 File Folder Labels for Dot Matrix Printers, 5000 Labels per Box, White;Office Supplies;Labels;59.06;234; 13,820.04 ; 14,856.54 ; 742.83 ; 15,599.37 ; 467.98 ; 194.99 ; 1,405.80 ;;
CA-2012-105844;25/10/2014;Umum Non Komersil;Nevada;JF-15415;Jennifer Ferguson;General Importer;Sparks;OFF-AR-10001955;Newell 319;Office Supplies;Art;75.36;468; 35,268.48 ; 37,031.90 ; 1,481.28 ; 38,513.18 ; 962.83 ; 481.41 ; 2,925.52 ;;
CA-2012-106257;13/04/2014;Umum Non Komersil;California;EB-14110;Eugene Barchas;General Importer;Los Angeles;FUR-TA-10002530;"Iceberg OfficeWorks 42"" Round Tables";Furniture;Tables;239.57;234; 56,058.91 ; 58,861.86 ; 2,354.47 ; 61,216.33 ; 1,530.41 ; 765.20 ; 4,650.09 ;;
CA-2012-106257;13/04/2014;Umum Non Komersil;California;EB-14110;Eugene Barchas;General Importer;Los Angeles;TEC-PH-10001494;Polycom CX600 IP Phone VoIP phone;Technology;Phones;477.92;234; 111,833.28 ; 117,424.94 ; 4,697.00 ; 122,121.94 ; 3,053.05 ; 1,526.52 ; 9,276.57 ;;
CA-2012-106320;25/09/2014;Umum Komersil;Utah;EB-13870;Emily Burns;General Importer;Orem;FUR-TA-10000577;Bretford CR4500 Series Slim Rectangular Table;Furniture;Tables;1041.63;351; 365,612.13 ; 393,033.04 ; 19,651.65 ; 412,684.69 ; 12,380.54 ; 5,158.56 ; 37,190.75 ;;
CA-2012-106978;28/09/2014;Umum Komersil;Colorado;ZC-21910;Zuschuss Carroll;General Importer;Aurora;OFF-BI-10002012;Wilson Jones Easy Flow II Sheet Lifters;Office Supplies;Binders;-0.92;234;-215.28;-231.43;-11.57;-243.00;-7.29;-3.04;-21.90;;
CA-2012-106978;28/09/2014;Umum Komersil;Colorado;ZC-21910;Zuschuss Carroll;General Importer;Aurora;OFF-FA-10003021;Staples;Office Supplies;Fasteners;1.51;351; 530.71 ; 570.52 ; 28.53 ; 599.04 ; 17.97 ; 7.49 ; 53.99 ;;
CA-2012-106978;28/09/2014;Umum Komersil;Colorado;ZC-21910;Zuschuss Carroll;General Importer;Aurora;OFF-EN-10004483;#10 White Business Envelopes,4 1/8 x 9 1/2;Office Supplies;Envelopes;11.54;117; 1,349.71 ; 1,450.94 ; 72.55 ; 1,523.49 ; 45.70 ; 19.04 ; 137.30 ;;
CA-2012-107020;10/07/2014;Umum Komersil;California;MV-18190;Mike Vittorini;General Importer;San Bernardino;OFF-BI-10003719;Large Capacity Hanging Post Binders;Office Supplies;Binders;37.92;234; 8,873.28 ; 9,538.78 ; 476.94 ; 10,015.71 ; 300.47 ; 125.20 ; 902.61 ;;
CA-2012-107468;18/12/2014;Umum Komersil;Colorado;MK-17905;Michael Kennedy;Merchant Importer;Louisville;OFF-AR-10000634;Newell 320;Office Supplies;Art;4.85;234; 1,134.43 ; 1,219.51 ; 60.98 ; 1,280.49 ; 38.41 ; 16.01 ; 115.40 ;;
CA-2012-107685;30/11/2014;Umum Non Komersil;Nevada;JM-15865;John Murray;General Importer;Las Vegas;OFF-PA-10003848;Xerox 1997;Office Supplies;Paper;21.92;468; 10,258.56 ; 10,771.49 ; 430.86 ; 11,202.35 ; 280.06 ; 140.03 ; 850.95 ;;
CA-2012-107685;30/11/2014;Umum Non Komersil;Nevada;JM-15865;John Murray;General Importer;Las Vegas;FUR-FU-10002813;DAX Contemporary Wood Frame with Silver Metal Mat, Desktop, 11 x 14 Size;Furniture;Furnishings;76.96;468; 36,017.28 ; 37,818.14 ; 1,512.73 ; 39,330.87 ; 983.27 ; 491.64 ; 2,987.63 ;;
CA-2012-107741;08/03/2014;Sementara;Colorado;FC-14335;Fred Chung;Merchant Importer;Pueblo;OFF-AR-10002399;Dixon Prang Watercolor Pencils, 10-Color Set with Brush;Office Supplies;Art;2.41;117; 281.74 ; 309.91 ; 6.20 ; 316.11 ; 1.58 ; 0.79 ; 8.57 ;;
CA-2012-1079377;03/05/2014;Umum Komersil;California;JB-16045;Julia Barnett;Sole Agent Importer;Chula Vista;FUR-FU-10002298;"Rubbermaid ClusterMat Chairmats, Mat Size- 66"" x 60"", Lip 20"" x 11"" -90 Degree Ang";Furniture;Furnishings;659.88;702; 463,235.76 ; 497,978.44 ; 24,898.92 ; 522,877.36 ; 15,686.32 ; 6,535.97 ; 47,121.21 ;;
CA-2012-108672;10/09/2014;Umum Komersil;California;FA-14230;Frank Atkinson;Merchant Importer;Los Angeles;FUR-FU-10003799;"Seth Thomas 13 1/2"" Wall Clock";Furniture;Furnishings;100.68;702; 70,677.36 ; 75,978.16 ; 3,798.91 ; 79,777.07 ; 2,393.31 ; 997.21 ; 7,189.43 ;;
CA-2012-109197;31/01/2015;Umum Komersil;Montana;JO-15280;Jas O'Carroll;General Importer;Missoula;OFF-BI-10004632;Ibico Hi-Tech Manual Binding System;Office Supplies;Binders;485.98;234; 113,720.26 ; 122,249.28 ; 6,112.46 ; 128,361.74 ; 3,850.85 ; 1,604.52 ; 11,567.84 ;;
CA-2012-109603;26/01/2014;Umum Komersil;California;EM-13825;Elizabeth Moffitt;Merchant Importer;Moreno Valley;OFF-PA-10003790;Xerox 1991;Office Supplies;Paper;174.72;936; 163,537.92 ; 175,803.26 ; 8,790.16 ; 184,593.43 ; 5,537.80 ; 2,307.42 ; 16,635.38 ;;
CA-2012-109638;15/12/2014;Umum Komersil;Washington;JH-15985;Joseph Holt;General Importer;Seattle;OFF-BI-10001098;Acco D-Ring Binder w/DublLock;Office Supplies;Binders;48.31;351; 16,957.51 ; 16,957.51 ; 911.47 ; 19,140.79 ; 574.22 ; 239.26 ; 1,742.95 ;;
CA-2012-109638;15/12/2014;Umum Komersil;Washington;JH-15985;Joseph Holt;General Importer;Seattle;OFF-AP-10002472;3M Office Air Cleaner;Office Supplies;Appliances;99.92;468; 46,762.56 ; 46,762.56 ; 2,513.49 ; 52,783.24 ; 1,583.50 ; 659.79 ; 4,567.78 ;;
CA-2012-109638;15/12/2014;Umum Komersil;Washington;JH-15985;Joseph Holt;General Importer;Seattle;TEC-AC-10004571;Logitech G700s Rechargeable Gaming Mouse;Technology;Accessories;890.91;1053; 938,128.23 ; 938,128.23 ; 50,424.39 ; 1,058,912.24 ; 31,767.37 ; 13,236.40 ; 92,458.16 ;;
CA-2012-109736;10/10/2014;Sementara;California;DJ-13420;Denny Joy;Merchant Importer;San Francisco;OFF-PA-10004101;Xerox 1894;Office Supplies;Paper;38.36;819; 31,416.84 ; 34,558.52 ; 691.17 ; 35,249.69 ; 176.25 ; 88.12 ; 955.54 ;;
CA-2012-109939;08/05/2014;Umum Komersil;Oregon;AA-10375;Allen Armold;General Importer;Salem;OFF-AR-10000127;Newell 321;Office Supplies;Art;3.25;234; 760.03 ; 817.03 ; 40.85 ; 857.89 ; 25.74 ; 10.72 ; 77.31 ;;
CA-2012-110289;29/10/2014;Umum Komersil;California;NB-18655;Nona Balk;Merchant Importer;San Francisco;OFF-PA-10002986;Xerox 1898;Office Supplies;Paper;28.40;585; 16,614.00 ; 17,860.05 ; 893.00 ; 18,753.05 ; 562.59 ; 234.41 ; 1,690.01 ;;
CA-2012-110289;29/10/2014;Umum Komersil;California;NB-18655;Nona Balk;Merchant Importer;San Francisco;OFF-EN-10001434;Strathmore #10 Envelopes, Ultimate White;Office Supplies;Envelopes;206.84;468; 96,801.12 ; 104,061.20 ; 5,203.06 ; 109,264.26 ; 3,277.93 ; 1,365.80 ; 9,846.79 ;;
CA-2012-110457;02/03/2014;Umum Komersil;Washington;DK-13090;Dave Kipp;General Importer;Seattle;FUR-TA-10001768;Hon Racetrack Conference Tables;Furniture;Tables;784.53;351; 275,370.03 ; 296,022.78 ; 14,801.14 ; 310,823.92 ; 9,324.72 ; 3,885.30 ; 28,011.16 ;;
CA-2012-110744;07/09/2014;Umum Komersil;California;HA-14920;Helen Andreada;General Importer;Pasadena;OFF-ST-10003656;Safco Industrial Wire Shelving;Office Supplies;Storage;664.93;819; 544,577.67 ; 585,421.00 ; 29,271.05 ; 614,692.05 ; 18,440.76 ; 7,683.65 ; 55,395.46 ;;
CA-2012-110870;12/12/2014;Sementara;California;KD-16270;Karen Daniels;General Importer;Los Angeles;OFF-SU-10001225;Staple remover;Office Supplies;Supplies;18.76;819; 15,364.44 ; 16,900.88 ; 338.02 ; 17,238.90 ; 86.19 ; 43.10 ; 467.31 ;;
CA-2012-110870;12/12/2014;Sementara;California;KD-16270;Karen Daniels;General Importer;Los Angeles;TEC-AC-10002926;Logitech Wireless Marathon Mouse M705;Technology;Accessories;293.94;702; 206,345.88 ; 226,980.47 ; 4,539.61 ; 231,520.08 ; 1,157.60 ; 578.80 ; 6,276.01 ;;
CA-2012-111038;01/12/2014;Umum Komersil;California;LC-16960;Lindsay Castell;Sole Agent Importer;San Diego;FUR-CH-10003973;GuestStacker Chair with Chrome Finish Legs;Furniture;Chairs;2667.67;1053; 2,809,058.62 ; 3,019,738.01 ; 150,986.90 ; 3,170,724.91 ; 95,121.75 ; 39,634.06 ; 285,742.71 ;;
CA-2012-111206;18/07/2014;Umum Komersil;California;RF-19735;Roland Fjeld;General Importer;San Diego;TEC-AC-10003095;Logitech G35 7.1-Channel Surround Sound Headset;Technology;Accessories;515.96;468; 241,469.28 ; 259,579.48 ; 12,978.97 ; 272,558.45 ; 8,176.75 ; 3,406.98 ; 24,562.71 ;;
CA-2012-111234;18/02/2014;Umum Komersil;California;AB-10600;Ann Blume;Merchant Importer;Los Angeles;OFF-LA-10002271;Smead Alpha-Z Color-Coded Second Alphabetical Labels and Starter Set;Office Supplies;Labels;6.24;351; 2,190.24 ; 2,354.51 ; 117.73 ; 2,472.23 ; 74.17 ; 30.90 ; 222.80 ;;
CA-2012-111507;06/02/2014;Umum Komersil;Washington;VW-21775;Victoria Wilson;Merchant Importer;Bellevue;OFF-AR-10001315;Newell 310;Office Supplies;Art;2.28;351; 800.28 ; 860.30 ; 43.02 ; 903.32 ; 27.10 ; 11.29 ; 81.41 ;;
CA-2012-111514;31/08/2014;Sementara;California;SC-20260;Scott Cohen;Merchant Importer;San Francisco;TEC-AC-10004864;Memorex Micro Travel Drive 32 GB;Technology;Accessories;35.51;117; 4,154.67 ; 4,570.14 ; 91.40 ; 1,420,491.93 ; 7,102.46 ; 3,551.23 ; 38,506.47 ;;
CA-2012-111514;31/08/2014;Sementara;California;SC-20260;Scott Cohen;Merchant Importer;San Francisco;OFF-BI-10002735;GBC Prestige Therm-A-Bind Covers;Office Supplies;Binders;132.24;585; 77,360.40 ; 85,096.44 ; 1,829.93 ; 93,326.36 ; 466.63 ; 233.32 ; 2,529.88 ;;
CA-2012-111514;31/08/2014;Sementara;California;SC-20260;Scott Cohen;Merchant Importer;San Francisco;TEC-MA-10000597;Lexmark S315 Color Inkjet Printer;Technology;Machines;236.98;351; 83,178.58 ; 91,496.43 ; 1,701.93 ; 86,798.37 ; 433.99 ; 217.00 ; 2,352.92 ;;
CA-2012-111514;31/08/2014;Sementara;California;SC-20260;Scott Cohen;Merchant Importer;San Francisco;FUR-BO-10002545;Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors;Furniture;Bookcases;1545.83;819; 1,266,035.59 ; 1,392,639.15 ; 91.40 ; 4,661.54 ; 23.31 ; 11.65 ; 126.36 ;;
CA-2012-111780;25/12/2014;Umum Non Komersil;California;RA-19285;Ralph Arnett;General Importer;San Diego;OFF-PA-10001307;Important Message Pads, 50 4-1/4 x 5-1/2 Forms per Pad;Office Supplies;Paper;9.60;351; 3,369.60 ; 3,538.08 ; 141.52 ; 3,679.60 ; 91.99 ; 46.00 ; 279.51 ;;
CA-2012-111780;25/12/2014;Umum Non Komersil;California;RA-19285;Ralph Arnett;General Importer;San Diego;OFF-PA-10001667;Great White Multi-Use Recycled Paper (20Lb. and 84 Bright);Office Supplies;Paper;14.94;351; 5,243.94 ; 5,506.14 ; 220.25 ; 5,726.38 ; 143.16 ; 71.58 ; 434.98 ;;
CA-2012-111780;25/12/2014;Umum Non Komersil;California;RA-19285;Ralph Arnett;General Importer;San Diego;TEC-CO-10004202;Brother DCP1000 Digital 3 in 1 Multifunction Machine;Technology;Copiers;1194.96;585; 699,051.60 ; 734,004.18 ; 29,360.17 ; 763,364.35 ; 19,084.11 ; 9,542.05 ; 57,986.33 ;;
